<START:location> Стрілковичі (49.5, 23.13333) <END>
<START:location> Санжарівка (48.56357, 38.51848) <END>
<START:location> Богданівка (49.67849, 25.29772) <END>
<START:location> Кубареве (51.48174, 33.87911) <END>
<START:location> Ново-Біляївка (46.55841, 30.42591) <END>
<START:location> Піски (50.37267, 33.4546) <END>
<START:location> Дунаєць (49.29578, 24.18272) <END>
<START:location> Оленівка (46.93656, 32.30395) <END>
<START:location> Рудня-Базарська (51.07297, 29.26766) <END>
<START:location> Fosa (49.4316, 31.2547) <END>
<START:location> Приазовська об'єднана територіальна громада (46.75631, 35.65449) <END>
<START:location> Ровеньки (48.08331, 39.37764) <END>
<START:location> Глинка (47.55619, 38.24712) <END>
<START:location> Бузинівка (48.63313, 36.75909) <END>
<START:location> Веретечів (48.69797, 23.25757) <END>
<START:location> Солуків (49.03949, 23.96443) <END>
<START:location> Седнів (51.6463023, 31.5616846) <END>
<START:location> Наливайківка (50.47944, 29.73528) <END>
<START:location> Глибока Балка (49.62253, 34.02183) <END>
<START:location> Станція Вовчанськ (50.28379, 36.9188) <END>
<START:location> Horbani (50.00492, 31.88336) <END>
<START:location> Богданівка (51.28746, 28.97295) <END>
<START:location> Оболонь (49.60389, 32.87384) <END>
<START:location> Яловський (48.75226, 23.04465) <END>
<START:location> Zubeyki (50.15866, 23.71531) <END>
<START:location> Попів Яр (48.42059, 37.46028) <END>
<START:location> Матроно-Василівка (47.53339, 32.97248) <END>
<START:location> Нововознесенка (48.28606, 35.74966) <END>
<START:location> Вакалівщина (51.02782, 34.92694) <END>
<START:location> Чебіненко (45.9846, 34.85164) <END>
<START:location> Мис Павловський (45.30523, 36.47886) <END>
<START:location> Станція Кузьминівка (49.06608, 35.96585) <END>
<START:location> Cetirlik (45.75267, 33.9311) <END>
<START:location> Тимофіївка (50.89194, 35.16333) <END>
<START:location> Unuchky (51.63224, 31.08094) <END>
<START:location> Fornosh (48.36122, 22.74147) <END>
<START:location> Станція Братки (48.4, 39.61667) <END>
<START:location> Верескуни (50.83248, 32.7858) <END>
<START:location> Загнітків (48.09651, 28.85896) <END>
<START:location> Свяченівка (49.99083, 37.60028) <END>
<START:location> Нижні Рівні (49.75507, 35.19891) <END>
<START:location> Олександрівка (49.22626, 35.50073) <END>
<START:location> Паланики (49.56855, 23.77524) <END>
<START:location> Овсіївка (47.56667, 35.55) <END>
<START:location> Свистуни (47.72639, 38.40694) <END>
<START:location> Царівка (50.36088, 29.25719) <END>
<START:location> Комінтерн (46.99806, 36.5125) <END>
<START:location> Капелюх (50.67966, 25.03543) <END>
<START:location> Чернишівка (47.8, 32.43333) <END>
<START:location> Сернія (48.36288, 22.31954) <END>
<START:location> Першотравневе (46.97377, 35.1519) <END>
<START:location> Солдатське (45.48789, 33.39711) <END>
<START:location> Вольний (48.77111, 39.11778) <END>
<START:location> Першотравневе (49.71619, 35.2563) <END>
<START:location> Вільхи (49.63813, 31.98212) <END>
<START:location> Привітне (49.80138, 32.16772) <END>
<START:location> Duke (46.48601, 30.74145) <END>
<START:location> Іванівка (48.29078, 35.48026) <END>
<START:location> Первомайське (47.99296, 38.78549) <END>
<START:location> Канора (48.73237, 23.20575) <END>
<START:location> Станція Харків-Сортувальний (50.0234, 36.18206) <END>
<START:location> Ново-Семенівка (46.30358, 30.08273) <END>
<START:location> Канцерівка (47.84145, 34.9508) <END>
<START:location> Курган Могила-Баба (48.5128, 35.70941) <END>
<START:location> Високе (50.18271, 33.39048) <END>
<START:location> Петрівка (48.56603, 37.45273) <END>
<START:location> Лохвиця (50.36319, 33.253288) <END>
<START:location> Підлуби (49.89362, 23.50917) <END>
<START:location> Тернопіль TV Mast (49.61339, 25.68917) <END>
<START:location> Перв'ятичі (50.4567, 24.45732) <END>
<START:location> Блакитне (47.40859, 33.43822) <END>
<START:location> Вербова (47.60406, 32.97072) <END>
<START:location> Харченки (51.01604, 33.5501) <END>
<START:location> Дібрівка (47.90179, 39.04245) <END>
<START:location> Олександрівка (51.23453, 33.74488) <END>
<START:location> Stantsiia Kolomiitseve (50.7209, 32.35239) <END>
<START:location> Новозванівка (48.58376, 38.35819) <END>
<START:location> Royal Deluxe Hotel (50.4413, 30.52021) <END>
<START:location> Губин (49.77877, 27.45049) <END>
<START:location> Криворізька міська рада (47.9473, 33.42489) <END>
<START:location> Майданівка (50.90407, 28.8768) <END>
<START:location> Шпінгаліха (49.36215, 30.56529) <END>
<START:location> Стенятин (50.53122, 24.36667) <END>
<START:location> Щербинівський (48.36667, 37.66667) <END>
<START:location> Тунельне (45.28211, 33.43933) <END>
<START:location> Тютюнникове (50.76794, 33.81973) <END>
<START:location> Шевченкове (49.19321, 31.0885) <END>
<START:location> Корсунь-Шевченківський (49.421051, 31.268993) <END>
<START:location> Болотниця (50.81337, 32.93508) <END>
<START:location> Пустельники (50.11213, 29.26095) <END>
<START:location> Патлаївка (49.64729, 34.5828) <END>
<START:location> Щаснівка (49.71189, 26.23685) <END>
<START:location> Рогачів (50.41042, 27.72239) <END>
<START:location> Александрені (48.23333, 25.23333) <END>
<START:location> Zrubanka (50.28949, 36.00062) <END>
<START:location> Волиця (49.88909, 25.48317) <END>
<START:location> Веселе (49.51144, 39.82827) <END>
<START:location> Нововолодимирівка (52.11329, 34.07421) <END>
<START:location> Старокасянівське (47.96334, 36.13194) <END>
<START:location> Вікторівка (48.53252, 36.95732) <END>
<START:location> Чорний Ріг (51.94476, 32.63928) <END>
<START:location> Урочище Дубровне (52.03279, 33.56741) <END>
<START:location> Rypen (47.9413, 25.10121) <END>
<START:location> Інгулець (47.7301, 33.25189) <END>
<START:location> Вулиця Козацька (50.96808, 29.34333) <END>
<START:location> Маяк Єнікале (45.3854, 36.63888) <END>
<START:location> Волча Гора (49.51496, 26.7535) <END>
<START:location> Гуменець (49.61854, 23.81273) <END>
<START:location> Тернове (47.49234, 36.58774) <END>
<START:location> Учебное (44.9993, 34.88019) <END>
<START:location> Підгайчики (48.56859, 25.17254) <END>
<START:location> Васильєвський (48.12694, 39.62222) <END>
<START:location> Іванівка (49.56444, 24.61905) <END>
<START:location> Благодатне (46.25724, 29.64527) <END>
<START:location> Болото Лисак (48.72086, 23.7425) <END>
<START:location> Свято-Троїцька церква Української Православної Церкви (Московський Патріархат) (50.01437, 27.70086) <END>
<START:location> Березняк (48.70685, 33.71853) <END>
<START:location> Готель Ореанда Ялта Крим (44.5, 34.1666) <END>
<START:location> Новомихайлівське (47.94234, 35.56533) <END>
<START:location> Гусинка (49.84849, 37.41089) <END>
<START:location> Борове (50.06667, 23.43333) <END>
<START:location> Московське (48.28145, 37.30856) <END>
<START:location> Сибок (49.10099, 29.18382) <END>
<START:location> Завишень (50.4434, 24.2581) <END>
<START:location> Радьківка (49.28333, 37.53333) <END>
<START:location> La Platte (49.48472, -2.49333) <END>
<START:location> Horai (48.75953, 27.82128) <END>
<START:location> Довга Пустош (49.22962, 34.54166) <END>
<START:location> Змагання (47.84814, 34.38227) <END>
<START:location> Першокостянтинівка (46.24849, 33.67727) <END>
<START:location> Біла (49.43925, 39.60701) <END>
<START:location> Дідківці (50.09506, 28.13212) <END>
<START:location> Вулиця Квітнева (49.53166, 27.21796) <END>
<START:location> Брониця (49.44547, 23.43242) <END>
<START:location> Stantsiia Tauzhnia (48.3771, 30.10247) <END>
<START:location> Баня (48.68333, 24.55) <END>
<START:location> Остановочный Пункт 175 км (48.29416, 39.86485) <END>
<START:location> Довжик (48.26307, 39.63397) <END>
<START:location> Підказенні (51.03333, 29.8) <END>
<START:location> Рошняте (48.86667, 24.2) <END>
<START:location> Архангелівка (48.93663, 36.93535) <END>
<START:location> Софіївка (47.73333, 33.78333) <END>
<START:location> Сімейкине (51.45385, 34.16904) <END>
<START:location> Суха-Алма (44.73557, 34.14853) <END>
<START:location> Мис Піщаний (44.60404, 33.43939) <END>
<START:location> Saint Martin's Point (49.42139, -2.52806) <END>
<START:location> Юрченкове (50.18806, 37.09709) <END>
<START:location> Широке (46.87054, 31.07202) <END>
<START:location> Новосамарка (47.50997, 29.52684) <END>
<START:location> Забаро-Давидівка (50.96932, 27.4586) <END>
<START:location> Остановочный Пункт Ревчик (49.94988, 35.8944) <END>
<START:location> Каліус (48.61707, 27.33368) <END>
<START:location> Zareku (48.18333, 23.88333) <END>
<START:location> Маньківка (49.73222, 37.84139) <END>
<START:location> Новоконстантинівка (45.69975, 34.63235) <END>
<START:location> Довге (50.95155, 32.06624) <END>
<START:location> Plodovskoye sel'skoye poselenye (44.87117, 33.85454) <END>
<START:location> Зіньківський район (50.20921, 34.35849) <END>
<START:location> Розквіт (48.9537, 39.57704) <END>
<START:location> Свято-Преображенський Храм (46.47345, 30.63955) <END>
<START:location> Тауров (49.54125, 25.27849) <END>
<START:location> Карабазівка (49.9229, 34.65709) <END>
<START:location> Вознесенка (47.78965, 32.92267) <END>
<START:location> Словечне (51.37893, 28.34967) <END>
<START:location> Лозуватка (48.52389, 35.32457) <END>
<START:location> Запорізький (47.81667, 34.01667) <END>
<START:location> Широке (44.47968, 33.76846) <END>
<START:location> Князя Мала (50.77847, 29.27443) <END>
<START:location> Цибульник (49.00661, 33.12024) <END>
<START:location> Олексіївка (47.91973, 36.39761) <END>
<START:location> Новомосковське (48.87546, 35.89634) <END>
<START:location> Ревківці (48.28156, 26.20666) <END>
<START:location> Миронівське Водосховище (48.46765, 38.25981) <END>
<START:location> Бахчесарай (44.8819, 33.80648) <END>
<START:location> Берестейська (50.45873, 30.42052) <END>
<START:location> Кулішівка (50.24542, 29.06351) <END>
<START:location> Скотувате (48.71707, 35.17753) <END>
<START:location> Анно-Покровка (47.13687, 30.47906) <END>
<START:location> Сидоров (49.01667, 26.01667) <END>
<START:location> Вертіївка (50.03294, 35.7726) <END>
<START:location> Володимирівка (47.53585, 29.65806) <END>
<START:location> Голубне (50.89285, 26.69249) <END>
<START:location> Turie (49.28385, 23.06557) <END>
<START:location> Valongis (49.71583, -2.19417) <END>
<START:location> Самари-Оріхові (51.84548, 24.67517) <END>
<START:location> Болотівка (51.04775, 33.73047) <END>
<START:location> Лесничество Машутино (52.33025, 33.6077) <END>
<START:location> Левченкове (49.9335, 32.01467) <END>
<START:location> Станція Кольчино (48.46366, 22.76941) <END>
<START:location> Гора Рокета Велька (48.41667, 24.7) <END>
<START:location> Валуйськ (50.39056, 37.29611) <END>
<START:location> Південний Одієський пункт (46.54978, 30.82067) <END>
<START:location> Самчинці (48.86879, 29.03189) <END>
<START:location> Новогупалівка (48.02267, 35.42227) <END>
<START:location> Сеферовка (48.98124, 27.60981) <END>
<START:location> Багринівка (47.98272, 25.94581) <END>
<START:location> Старовичі (50.89978, 29.60973) <END>
<START:location> Вишневе (47.92135, 35.43786) <END>
<START:location> Бахматівці (49.41988, 27.20439) <END>
<START:location> Бирлівка (48.37678, 29.46523) <END>
<START:location> Гончарне (44.46594, 33.69986) <END>
<START:location> Ряшки (50.70018, 32.56248) <END>
<START:location> Весела (50.36243, 35.18695) <END>
<START:location> Миколаївка (49.75, 33.18333) <END>
<START:location> Попова Гребля (48.13375, 29.30137) <END>
<START:location> Ступовка (50.75934, 35.28776) <END>
<START:location> Озеро Шахани (45.71997, 29.8706) <END>
<START:location> Biyelin (47.93333, 24.23333) <END>
<START:location> Лозуватське (48.29005, 34.35006) <END>
<START:location> Зупинний Пункт Прудянка (50.23968, 36.16834) <END>
<START:location> Бортниця (50.48042, 25.76584) <END>
<START:location> Le Platon (49.44639, -2.36639) <END>
<START:location> Веселівка (48.61827, 29.86441) <END>
<START:location> Дракулія (45.55383, 29.46767) <END>
<START:location> Гора Плоська (45.1218, 34.78657) <END>
<START:location> Little Nannel (49.73785, -2.24839) <END>
<START:location> Юзефін (51.55, 27.38333) <END>
<START:location> Hora Mahura (48.32089, 24.54927) <END>
<START:location> Башине (50.52975, 26.56997) <END>
<START:location> Мощана (50.18468, 23.7632) <END>
<START:location> Церква Святої Трійці Української Православної Церкви (Московський Патріархат) (50.00747, 26.64044) <END>
<START:location> Івниця (50.13675, 29.04191) <END>
<START:location> Берегове (46.56976, 32.4141) <END>
<START:location> Олександрівка Перша (47.38333, 29.96667) <END>
<START:location> Орлівщина (48.61676, 35.40251) <END>
<START:location> Шахтарськ (48.0333333, 38.4833333) <END>
<START:location> Вулиця Польова (50.77903, 29.26879) <END>
<START:location> Les Ancreois (49.50194, -2.55417) <END>
<START:location> Задорожнє (49.41627, 36.14678) <END>
<START:location> Широка Балка (48.70741, 35.89027) <END>
<START:location> Восход (47.06118, 35.20273) <END>
<START:location> Ржищів (49.972801, 31.04777) <END>
<START:location> Вулиця Молодіжна (49.99597, 26.64879) <END>
<START:location> Ново-Георгієвський (48.33333, 35.78333) <END>
<START:location> Zoria Truda (46.76453, 30.96606) <END>
<START:location> Щурівка (52.04438, 33.2665) <END>
<START:location> Войково (45.36053, 36.52325) <END>
<START:location> Солона (47.68501, 34.03477) <END>
<START:location> Тарасівка (45.33227, 34.73271) <END>
<START:location> Коромний Яр (49.41611, 39.06) <END>
<START:location> Охотниково (45.23985, 33.59405) <END>
<START:location> Абранка (48.72929, 23.04646) <END>
<START:location> Вовкосафонове (47.31104, 30.35615) <END>
<START:location> Рудня (51.34241, 24.28155) <END>
<START:location> Скребиші (49.86554, 30.256) <END>
<START:location> Гора Чорна Ріпа (48.73025, 23.51858) <END>
<START:location> Підхай (50.6676, 25.61685) <END>
<START:location> Partyzany (46.33018, 34.75057) <END>
<START:location> Осикова (47.99354, 37.32693) <END>
<START:location> Довжиця (51.19258, 25.54612) <END>
<START:location> Рожищенський район (51, 25.16667) <END>
<START:location> Пустовари (49.54181, 34.17518) <END>
<START:location> Шубків (50.69948, 26.5232) <END>
<START:location> Вишневе (49.6036, 28.39631) <END>
<START:location> Sadky (50.31777, 28.4858) <END>
<START:location> Знам'янка (48.74534, 38.90664) <END>
<START:location> Добропілля (49.19535, 25.42916) <END>
<START:location> Дроздівка (51.29443, 31.63547) <END>
<START:location> Торговиця (48.59711, 25.44114) <END>
<START:location> Павлюківка (50.03383, 35.16423) <END>
<START:location> Введенка (46.17, 29.53299) <END>
<START:location> Василець (52.02902, 33.88911) <END>
<START:location> Лаврівка (48.37744, 28.22301) <END>
<START:location> Hora Var-Khed (48.00402, 23.45426) <END>
<START:location> Нововасилівка (47.93447, 33.96517) <END>
<START:location> Вулиця Садова (50.155, 26.82512) <END>
<START:location> Шевченки (50.31556, 34.60833) <END>
<START:location> Безбородків (50.93029, 32.24378) <END>
<START:location> Дарино-Єрмаківка (47.89239, 39.6049) <END>
<START:location> Мульчиці (51.54184, 25.88925) <END>
<START:location> Замшани (51.56454, 24.57427) <END>
<START:location> Ліщинівка (48.91099, 30.05653) <END>
<START:location> Новосілки (50.49892, 26.43523) <END>
<START:location> Низи (49.05, 33.58333) <END>
<START:location> Довжанка (49.56307, 25.47268) <END>
<START:location> Відділення Номер Три Совхоза Червона Хвиля (49.91428, 37.24493) <END>
<START:location> Діанівка (47.42222, 37.39778) <END>
<START:location> Балашове (46.6727, 34.40505) <END>
<START:location> Стрілка (47.05194, 38.13472) <END>
<START:location> Луківський колгосп (50.73483, 28.91285) <END>
<START:location> Рогозянське водосховище (50.15793, 35.92134) <END>
<START:location> ПС «Перемога» 500 кВ (48.15899, 39.64485) <END>
<START:location> Lanove (47.24264, 30.94721) <END>
<START:location> Витріщитися (50.14837, 31.07943) <END>
<START:location> Нововасилівка (47.60968, 32.58229) <END>
<START:location> Мостище (51.59058, 33.40554) <END>
<START:location> Покровське (49.64403, 34.13317) <END>
<START:location> Айвове (44.73648, 33.64509) <END>
<START:location> Зелений Гай (47.39171, 35.36448) <END>
<START:location> Дубове (51.26391, 24.68334) <END>
<START:location> Острів Смолений (46.20171, 31.97074) <END>
<START:location> Горішній Дзвиняч (49.15, 22.8) <END>
<START:location> Лідівка (50.51751, 27.55807) <END>
<START:location> Мала Глумча (50.96073, 27.66849) <END>
<START:location> Буркачі (50.35548, 25.05419) <END>
<START:location> Урочище Балин-Кош (44.48333, 34.03333) <END>
<START:location> Червоний Дуб (48.18333, 33.9) <END>
<START:location> Сохацьке (50.1379, 33.45954) <END>
<START:location> Зупиночний Пункт Амур (48.49687, 35.03538) <END>
<START:location> Акімівка (46.58722, 33.32192) <END>
<START:location> Вільхуватка (48.07454, 38.30605) <END>
<START:location> Yesaulenka (49.93333, 32.66667) <END>
<START:location> Бишків (50.18014, 23.8597) <END>
<START:location> Взривна (48.19005, 39.57981) <END>
<START:location> Покровський (52.29167, 33.915) <END>
<START:location> Торговиця (48.73397, 24.94272) <END>
<START:location> Снігурівка (47.0666667, 32.8166667) <END>
<START:location> Басман-Пещери (44.61667, 34.18333) <END>
<START:location> Успенівка (47.91715, 37.22874) <END>
<START:location> Ново-Ульяновка (47.95, 32.11667) <END>
<START:location> Приморська вулиця (46.33558, 30.66717) <END>
<START:location> Решнівка (49.79147, 27.39424) <END>
<START:location> Кропоткіно (45.80396, 33.48138) <END>
<START:location> Самарське (48.1479, 35.86685) <END>
<START:location> Тернопіль (49.55404, 25.59067) <END>
<START:location> Новочорномор'я (46.20188, 32.25805) <END>
<START:location> Казаченківка (49.78202, 35.64622) <END>
<START:location> Boue Corneille (49.50611, -2.58083) <END>
<START:location> Велика Калга (46.63812, 34.62743) <END>
<START:location> Березівка (51.6831, 30.72392) <END>
<START:location> Гаврилівка (50.00306, 36.02194) <END>
<START:location> Новогуйвинське (50.20816, 28.69285) <END>
<START:location> Гора Кулікова (45.40018, 36.41492) <END>
<START:location> Зарічне (44.85048, 34.26426) <END>
<START:location> Новоолександрівка (49.26014, 38.19832) <END>
<START:location> Богодарівка (47.57843, 31.81575) <END>
<START:location> Потереба (50.42388, 26.73521) <END>
<START:location> Солониха (46.50729, 32.40096) <END>
<START:location> Вулиця Герцена (50.75886, 29.23081) <END>
<START:location> Цимбалівка (51.12626, 34.22846) <END>
<START:location> Стецьківка (51.01307, 34.78849) <END>
<START:location> Станція Сердюківка (49.03608, 31.79806) <END>
<START:location> Рудня (51.25, 26.6) <END>
<START:location> Оселівка (48.43992, 26.61836) <END>
<START:location> Selektsiine (49.77826, 36.02696) <END>
<START:location> Канава Боєва (52.03118, 31.93939) <END>
<START:location> Економічна (48.47059, 37.09363) <END>
<START:location> Les Tas de Pois d'Amont (49.41777, -2.54087) <END>
<START:location> Вовківчики (50.07698, 27.02178) <END>
<START:location> Москалівка (49.90787, 26.27084) <END>
<START:location> Вулиця Космонавтів (46.34153, 30.62553) <END>
<START:location> Зелений Гай (48.29742, 35.76254) <END>
<START:location> Олексіївка (51.64584, 24.97197) <END>
<START:location> Новоселиця (50.83743, 34.88993) <END>
<START:location> Ждан (51.64437, 25.73824) <END>
<START:location> Бессарабка (47.26624, 38.11416) <END>
<START:location> Закітне (48.89702, 37.9652) <END>
<START:location> Pervoye Maya (47.85917, 38.22278) <END>
<START:location> Головчиці (50.44674, 25.60046) <END>
<START:location> Ruyina Soldatove (45.17436, 34.63247) <END>
<START:location> Новомиколаївка (47.97362, 35.89806) <END>
<START:location> Сковородки (49.61136, 27.19583) <END>
<START:location> Новооленівка (48.13902, 37.08657) <END>
<START:location> Войнилів (49.12893, 24.49198) <END>
<START:location> Урочище Полеміна (51.76186, 25.04008) <END>
<START:location> Вихватинці (49.28333, 26.73333) <END>
<START:location> Данилівка (49.91483, 26.46658) <END>
<START:location> Кам'янка (47.4203, 37.69702) <END>
<START:location> Вижично (51.84746, 24.52049) <END>
<START:location> Дністровське Водосховище (48.56753, 27.24502) <END>
<START:location> Звіздівка (50.89015, 26.18325) <END>
<START:location> Нехраші (50.38112, 30.07333) <END>
<START:location> Радужне (45.29644, 34.01953) <END>
<START:location> Оболонь (50.51627, 30.50636) <END>
<START:location> Жемчуженское сельское поселение (45.27477, 34.65672) <END>
<START:location> Жукля (51.81847, 32.65915) <END>
<START:location> Сімферопольський район (44.9569, 34.10225) <END>
<START:location> Базилівка (51.00213, 33.48635) <END>
<START:location> Романівка (49.21904, 25.5693) <END>
<START:location> Іванівка (45.28881, 36.28549) <END>
<START:location> Орховичі (49.71008, 23.41035) <END>
<START:location> Заудаївське (50.65168, 32.47499) <END>
<START:location> Гора Зибуктепе (44.56627, 33.7457) <END>
<START:location> Середня Балаклейка (49.47805, 36.83869) <END>
<START:location> Новокарлівка (47.50962, 36.04246) <END>
<START:location> Вільховиця (48.48126, 22.84969) <END>
<START:location> Витязівка (48.00948, 31.88058) <END>
<START:location> Святець (49.84412, 26.2995) <END>
<START:location> Боголюбівка (49.45877, 37.32346) <END>
<START:location> Приют (47.91412, 34.03173) <END>
<START:location> Наталівка (46.51179, 33.64023) <END>
<START:location> Підгірне (47.8271, 34.29565) <END>
<START:location> Новопобудоване (50.3602, 34.73784) <END>
<START:location> Ілліча (50.30155, 36.17208) <END>
<START:location> Чоповичі (50.83325, 28.95334) <END>
<START:location> Світанок (48.0204, 35.04821) <END>
<START:location> Gora Magura (49.42918, 22.75073) <END>
<START:location> Вікнино (48.91424, 31.10504) <END>
<START:location> Transtorgpit (50.26833, 36.48639) <END>
<START:location> Гора Купчак (45.44334, 32.63323) <END>
<START:location> Бендзари (47.9288, 29.67703) <END>
<START:location> Хізівщина (49.91861, 27.60505) <END>
<START:location> Prohres (49.25527, 34.3828) <END>
<START:location> Мархалівка (50.27177, 30.37104) <END>
<START:location> Єрчики (49.99512, 29.58413) <END>
<START:location> Імені Димитрова (47.83079, 35.21901) <END>
<START:location> Невідома річка (Холодний Яр) (49.14953, 32.16033) <END>
<START:location> Гора Сюрюоба (45.077, 36.38378) <END>
<START:location> Загірське Водосховище (44.65108, 34.03748) <END>
<START:location> Deleta (51.63056, 28.2447) <END>
<START:location> Мочалище (50.56641, 31.3237) <END>
<START:location> Болотний (49.56667, 40.13333) <END>
<START:location> Biuiten (45.30058, 34.70993) <END>
<START:location> Ізумрудне (45.73704, 34.41299) <END>
<START:location> Repynne (48.58136, 23.44389) <END>
<START:location> Багата Чернещина (48.99332, 35.57743) <END>
<START:location> Нові Садки (47.39544, 38.12143) <END>
<START:location> Koshara Shpindiyar (46.2382, 33.59406) <END>
<START:location> Стрижавка (49.38801, 29.99862) <END>
<START:location> Малинський міський полігон (50.74286, 29.16936) <END>
<START:location> Руська Долина (48.12874, 22.93225) <END>
<START:location> провулок Кленовий (49.84589, 27.25175) <END>
<START:location> Лисиця (50.42544, 29.49417) <END>
<START:location> Житні Гори (49.73183, 30.46968) <END>
<START:location> Великі Колетинці (50.05, 26.38333) <END>
<START:location> Стара Чортория (50.01386, 27.6961) <END>
<START:location> Степове (49.34323, 35.39143) <END>
<START:location> Володимирівка (50.99517, 34.04943) <END>
<START:location> Іванівка (48.36528, 39.61778) <END>
<START:location> Батючка (50.2, 24.26667) <END>
<START:location> Samsony (50.94686, 31.03125) <END>
<START:location> Куна (49.43001, 24.08637) <END>
<START:location> Горіхове (49.99974, 35.85667) <END>
<START:location> Городище (49.290649, 31.443199) <END>
<START:location> Дворічанський район (49.91667, 37.83333) <END>
<START:location> Подільський район (50.48105, 30.49174) <END>
<START:location> Buluky (50.15453, 33.56783) <END>
<START:location> Боршягівка-Технічна (50.42626, 30.40977) <END>
<START:location> Овощне (45.7552, 34.33777) <END>
<START:location> Заказник Жуків-Хутір (50.4832, 30.08404) <END>
<START:location> Rohy (48.87389, 30.45027) <END>
<START:location> Сирово Хутір (47.59917, 29.66778) <END>
<START:location> Nohaiske (46.51808, 34.77946) <END>
<START:location> Нове (48.52977, 32.1206) <END>
<START:location> Stantsia Nasvetevich (48.94223, 38.40786) <END>
<START:location> Ребрикове (47.68984, 38.08805) <END>
<START:location> Малі Козуби (49.50195, 34.3277) <END>
<START:location> Богданівка (51.89899, 33.33258) <END>
<START:location> 71 км (50.67634, 29.73077) <END>
<START:location> Tarasky (49.70318, 28.23468) <END>
<START:location> Пластунівка (49.85721, 35.83356) <END>
<START:location> Жижніковці (50.02099, 26.48151) <END>
<START:location> Водяна (48.42125, 37.01927) <END>
<START:location> Флярківка (49.13696, 32.11599) <END>
<START:location> Київське (47.95874, 35.99487) <END>
<START:location> Кринички (50.71968, 26.58043) <END>
<START:location> Сухоє (49.59305, 38.94453) <END>
<START:location> Semisotka (45.24676, 35.565) <END>
<START:location> Demydivka (48.45559, 29.34617) <END>
<START:location> Stari Honchari (51.29753, 33.98758) <END>
<START:location> Alekseyevka (51.75065, 32.23378) <END>
<START:location> Urochishche Beregovoye (52.29746, 33.41211) <END>
<START:location> Krasna Kosa (46.3329, 30.10016) <END>
<START:location> Rovin (49.16667, 23.38333) <END>
<START:location> Zarichchia (50.83826, 33.59699) <END>
<START:location> Khylky (49.33452, 30.97252) <END>
<START:location> Gora Urmany-Ustu (44.80551, 35.06198) <END>
<START:location> Kryvyi Rih TV Mast (47.91173, 33.41836) <END>
<START:location> Stantsiia Zolota Balka (44.51611, 33.60134) <END>
<START:location> Kalhanivka (50.34185, 29.35272) <END>
<START:location> Tereshova (48.13333, 23.81667) <END>
<START:location> Hluzdy (51.47542, 31.61897) <END>
<START:location> Stantsiia Pryvilne (48.22536, 34.75434) <END>
<START:location> Myroliubivka (50.08333, 28.78333) <END>
<START:location> Surmiche (50.41667, 25.76667) <END>
<START:location> Yakymivka United Territorial Community (46.6814, 35.08687) <END>
<START:location> Kurgan Khosh-Oba (44.89311, 33.83959) <END>
<START:location> Stantsiya Shidlovskaya (48.83009, 37.40607) <END>
<START:location> Dubovets (49.05798, 28.72904) <END>
<START:location> Raz”yezd Krasnogorka (48.51967, 28.90091) <END>
<START:location> Dubenki (49.04875, 25.18282) <END>
<START:location> Samiilivka (51.13075, 30.97447) <END>
<START:location> Boloto Chinki (51.53768, 24.15176) <END>
<START:location> Pustoviitove (49.33856, 33.37795) <END>
<START:location> Hornostaipil (51.06899, 30.25149) <END>
<START:location> Yavtukhivka (49.76269, 35.22055) <END>
<START:location> Molodizhna Street (50.72698, 29.13566) <END>
<START:location> Romanivka (50.09397, 34.05158) <END>
<START:location> Boyarka (49.26667, 34.26667) <END>
<START:location> Stantsiia Burchatsk (47.35866, 35.32966) <END>
<START:location> Hryhorivka (50.04859, 30.61846) <END>
<START:location> Рівне (50.6166667, 26.25) <END>
<START:location> Oskil (49.1785, 37.42598) <END>
<START:location> Novostambulske Hyrlo (45.34952, 29.71002) <END>
<START:location> Krasnyi Lyman (48.71931, 38.97375) <END>
<START:location> Pishchane (49.12104, 38.17514) <END>
<START:location> Kurisove (46.96951, 30.95914) <END>
<START:location> Balka Orlova (50.21866, 36.2919) <END>
<START:location> Sloboda Mizyakivskaya (49.40204, 28.40809) <END>
<START:location> Rozvadiv (49.50305, 23.95819) <END>
<START:location> Pavlove Pole (50.02898, 36.21552) <END>
<START:location> Kamennaya (48.9, 25.05) <END>
<START:location> Zholoby (50.07595, 25.70189) <END>
<START:location> Bardy (51.03786, 28.74392) <END>
<START:location> Semenivka (48.78136, 25.31129) <END>
<START:location> Podluzhe (48.93333, 24.76667) <END>
<START:location> Kalaytanivka (47.0567, 36.90332) <END>
<START:location> Mys Dzendzyk (46.49211, 36.1015) <END>
<START:location> Stepne (47.79476, 37.54578) <END>
<START:location> Veselivka (50.85759, 28.56284) <END>
<START:location> Sidorova Balka (48, 32.48333) <END>
<START:location> Priozyornoye (45.2699, 36.33405) <END>
<START:location> Novo-Antonovka (47.5, 36.91667) <END>
<START:location> Chornenkove (47.97405, 36.16274) <END>
<START:location> Babintsy (49.41667, 24.61667) <END>
<START:location> Sviatohorivka (48.4865, 37.04272) <END>
<START:location> Stara Buda (50.65242, 28.8957) <END>
<START:location> Zaluchchia (48.48423, 25.15648) <END>
<START:location> Borshchiv (49.66275, 24.59609) <END>
<START:location> Pershotravneve (49.48446, 37.07153) <END>
