<START:location> Strilkovychi (49.5, 23.13333) <END>
<START:location> Sizovka (45.34892, 33.87669) <END>
<START:location> Voskresenivka (48.33897, 35.91447) <END>
<START:location> Novostroyevka (49.22994, 27.53759) <END>
<START:location> Stara Krasnytsia (51.34619, 29.84665) <END>
<START:location> Imeni Lenina (48.09192, 33.48394) <END>
<START:location> Khrebet Buchok (49.05465, 22.89732) <END>
<START:location> Sofiika (49.39869, 30.68567) <END>
<START:location> Andriivka (49.06526, 34.47114) <END>
<START:location> Shamraivka (49.77189, 29.83071) <END>
<START:location> Rudnya-Goroshkovskaya (50.58333, 28.45) <END>
<START:location> Shelestivka (49.57724, 40.02614) <END>
<START:location> Frie Baton (49.45139, -2.63028) <END>
<START:location> Sholomky (51.29291, 28.69929) <END>
<START:location> Yablunytsia (48.31107, 24.48363) <END>
<START:location> Nova Hnylytsia (49.70942, 36.86991) <END>
<START:location> Dvorets (50.0569, 26.5723) <END>
<START:location> Cherepivske (47.84766, 35.41117) <END>
<START:location> Unknown River (Mikhaylovka) (48.8593, 29.53243) <END>
<START:location> Pereroslov (50.13042, 26.38663) <END>
<START:location> Zelenyi Kut (47.88146, 29.48595) <END>
<START:location> Stasy (51.62036, 31.42508) <END>
<START:location> Protopopivka (48.74555, 33.04191) <END>
<START:location> Pivtsi (49.91802, 31.07971) <END>
<START:location> Blonske (46.86502, 30.44443) <END>
<START:location> Holovenky (49.02639, 28.84634) <END>
<START:location> Shestirivka (50.18911, 36.91281) <END>
<START:location> Bukhta Pivnichna (44.62532, 33.53504) <END>
<START:location> Chopovychi Lyceum (50.82861, 28.94861) <END>
<START:location> Golyaki (49.51667, 28.43333) <END>
<START:location> Ozero (51.50074, 26.21786) <END>
<START:location> Nerazh (50.6041, 28.88718) <END>
<START:location> Ust’ye Reki Pripyati (51.16667, 30.48333) <END>
<START:location> Serednia Vulytsia (46.47284, 30.701) <END>
<START:location> Banque Mouton (49.50583, -2.50861) <END>
<START:location> Byalozurka (49.76754, 26.17959) <END>
<START:location> Toretske (48.56115, 37.42472) <END>
<START:location> Prydonetske (49.1815, 37.12808) <END>
<START:location> Stantsiya Taganrogskiy Post (48.25, 38.01667) <END>
<START:location> Selets (51.62085, 26.59699) <END>
<START:location> Mikhaylovka Vtoraya (50.08028, 36.52611) <END>
<START:location> Stantsiia Ostriakove (45.11641, 34.02799) <END>
<START:location> Lychky (50.96863, 25.55984) <END>
<START:location> Zhmerynka (49.03523, 28.11405) <END>
<START:location> Tyraspolske Shose (46.48627, 30.61573) <END>
<START:location> Senok (49.5855, 37.52025) <END>
<START:location> Boholiuby (50.76645, 25.24022) <END>
<START:location> Pushkinskoye sel'skoye poselenye (45.20188, 34.97669) <END>
<START:location> Serhiivka (48.15675, 33.66169) <END>
<START:location> Zarichne (47.6894, 35.58021) <END>
<START:location> Rodnikovskoye sel'skoye poselenye (45.04387, 33.95265) <END>
<START:location> Zhitnyy Yar (48.37556, 38.11861) <END>
<START:location> Kriukivshchyna (50.36986, 30.36686) <END>
<START:location> Podgorodishche (49.69855, 24.3248) <END>
<START:location> Danyne (50.88022, 31.82028) <END>
<START:location> Zabrody (50.86701, 25.43068) <END>
<START:location> Nyzhche Solone (49.30164, 37.66386) <END>
<START:location> Nesterivka (49.90121, 37.30966) <END>
<START:location> Stantsiya Sorochiy Brid (50.13047, 30.0074) <END>
<START:location> Stantsiya Tsebrov (49.62806, 25.41926) <END>
<START:location> Potashnia (50.38372, 29.30468) <END>
<START:location> Stavydlianska Luka (48.84643, 32.11744) <END>
<START:location> Ozero Tuba (48.84176, 38.58647) <END>
<START:location> Stantsiya Odessa Zapadnaya (46.44673, 30.65344) <END>
<START:location> Velyka Kyriivka (48.37563, 29.62484) <END>
<START:location> Stantsiya Belyayevka (49.2636, 36.30636) <END>
<START:location> Stantsiya Sotniki (49.48333, 31.16667) <END>
<START:location> Znamianske (45.3806, 32.89397) <END>
<START:location> Burkivka (51.11561, 32.10258) <END>
<START:location> Krasnomakskoye sel'skoye poselenye (44.64237, 33.78146) <END>
<START:location> Chykosh-Horonda (48.27856, 22.67819) <END>
<START:location> Pereval Torunskyj (48.70243, 23.63472) <END>
<START:location> Temerovtse (49.10881, 24.59793) <END>
<START:location> Stantsiya Fastiv-I (50.07658, 29.92785) <END>
<START:location> Svoboda (48.63309, 23.75313) <END>
<START:location> Unknown River (Zhuravka) (50.47202, 32.59753) <END>
<START:location> Lisova vulytsia (50.84552, 29.34227) <END>
<START:location> Bervinki (48.51667, 24.25) <END>
<START:location> Cherneve (51.58367, 34.01149) <END>
<START:location> Herasymivka (50.75429, 33.53391) <END>
<START:location> Bondari (50.29497, 32.86606) <END>
<START:location> Rozdollia (46.518, 34.86785) <END>
<START:location> Kliachanovo (48.46623, 22.66898) <END>
<START:location> Litochky (50.7552, 30.77229) <END>
<START:location> Rovets (49.12132, 28.33469) <END>
<START:location> Vesele (50.29515, 35.16148) <END>
<START:location> Ukaly (47.99578, 37.08587) <END>
<START:location> Hrushivske (48.0463, 36.71122) <END>
<START:location> Hryhorivka (50.28295, 31.66403) <END>
<START:location> Mys Ak-Burun (45.06778, 36.39472) <END>
<START:location> Duvanka (50.3044, 36.05376) <END>
<START:location> Liudmylpil (50.87765, 24.45073) <END>
<START:location> Hustynia (50.63947, 32.47116) <END>
<START:location> Yampol’skiy Rayon (52, 33.83333) <END>
<START:location> Longue Pierre (49.5, -2.43333) <END>
<START:location> Hudzivka (49.12085, 30.98832) <END>
<START:location> Vilna Sloboda (51.81518, 34.21406) <END>
<START:location> Nizinnoye (45.20738, 33.91139) <END>
<START:location> Borotba (50.68771, 31.92781) <END>
<START:location> Novosergeyevka (47.73333, 32.96667) <END>
<START:location> Zavet-Leninskiy (45.86258, 34.3916) <END>
<START:location> Kravchykha (50.89503, 32.02318) <END>
<START:location> Solnechnoye (45.04726, 35.34538) <END>
<START:location> Bessarabske (46.18757, 29.14635) <END>
<START:location> Shyrokyi (48.35535, 23.5263) <END>
<START:location> Hora Kruhla (48.7844, 23.69154) <END>
<START:location> Drahobrat (48.2486, 24.24387) <END>
<START:location> Veselyi Hai (51.91038, 34.14468) <END>
<START:location> Pashetisko (50.06667, 28.33333) <END>
<START:location> Yaryna (49.92787, 23.63879) <END>
<START:location> Zhdanivka (48.96105, 35.06563) <END>
<START:location> Viktorovka (44.79135, 33.80347) <END>
<START:location> Uhly (51.13781, 25.37883) <END>
<START:location> Holov'yatyne (49.27999, 32.05324) <END>
<START:location> Horianivske (48.5829, 34.87423) <END>
<START:location> Novooleksandrivka (48.19033, 36.99485) <END>
<START:location> Bilyky (51.0174, 30.92005) <END>
<START:location> Hoholiv (50.32258, 24.38975) <END>
<START:location> Nagolny (48.03333, 39.53333) <END>
<START:location> Zoriane (47.71382, 33.60708) <END>
<START:location> Chernoye More (46.47156, 30.73952) <END>
<START:location> Chervone (52.2677, 33.45389) <END>
<START:location> Novo-Moskovskiy (47.91073, 35.46564) <END>
<START:location> Virivka (50.78611, 27.94249) <END>
<START:location> Pechki (51.35, 27.38333) <END>
<START:location> Svalovychi (51.86727, 25.63394) <END>
<START:location> Radohoshch (50.95693, 28.32319) <END>
<START:location> Shpykivka (48.77238, 28.62118) <END>
<START:location> Bohodushna (47.67482, 32.11648) <END>
<START:location> Houmet Herbe (49.72583, -2.15806) <END>
<START:location> Vydyniv (48.44894, 25.44218) <END>
<START:location> Vesele (46.31821, 30.10651) <END>
<START:location> Sytnyky (49.48984, 31.15596) <END>
<START:location> Siuriuk (48.26694, 23.47804) <END>
<START:location> Sur la Ville (49.70944, -2.20861) <END>
<START:location> Prutivka (50.31536, 28.04073) <END>
<START:location> Bilmachivka (51.00269, 32.56013) <END>
<START:location> Voskresenske (47.01334, 32.14542) <END>
<START:location> Pershotravneve (49.12696, 35.46325) <END>
<START:location> Pryvorot (48.06891, 33.6674) <END>
<START:location> Oleshkivtsi (49.34142, 26.5762) <END>
<START:location> Stantsiya Vodopoy (46.93333, 32.06667) <END>
<START:location> Zelenyi Kolodiaz (49.84466, 36.44592) <END>
<START:location> Novoselivka (49.48827, 33.09484) <END>
<START:location> Olefiry (49.52639, 33.71137) <END>
<START:location> Olenovka (48.25128, 38.32022) <END>
<START:location> Galyye Bolota (50.15, 29.21667) <END>
<START:location> Stantsiia Donetsk Druha (48.00873, 37.86746) <END>
<START:location> Pivnivka (49.43423, 39.87833) <END>
<START:location> Morsola (50.80967, 29.40324) <END>
<START:location> Vodokhranilishche Lozoven’kovskoye (50.08676, 36.20288) <END>
<START:location> Stepanivka (48.45152, 38.49565) <END>
<START:location> Semkivka (49.88123, 35.65078) <END>
<START:location> Stakhanovka (45.37062, 33.94883) <END>
<START:location> Grand Hotel Ukraine Dnepropetrovsk (48.92699, 31.47799) <END>
<START:location> Qarasuv Bazar (45.14573, 34.57947) <END>
<START:location> Pyratyn (50.31835, 24.71838) <END>
<START:location> Hryshynka (48.41602, 36.85076) <END>
<START:location> Pedashka (49.3, 35.28333) <END>
<START:location> Biloziria (49.30105, 31.89355) <END>
<START:location> Veselyy (49.60083, 37.12) <END>
<START:location> Zalysytsia (51.86569, 24.72915) <END>
<START:location> Cherneshchyna (50.08694, 35.19771) <END>
<START:location> Les Ecrilleurs (49.42028, -2.62778) <END>
<START:location> Le Houmet (49.4925, -2.55389) <END>
<START:location> Yasna Poliana (47.06303, 34.83328) <END>
<START:location> Hannivka (46.94358, 31.32655) <END>
<START:location> Parkantsi (46.94384, 30.04488) <END>
<START:location> Inhulets (47.9844, 33.2648) <END>
<START:location> Holy Assumption Church (46.32879, 30.63654) <END>
<START:location> Horodyshche Pivdenkodonuzlavske (45.3023, 33.02815) <END>
<START:location> Nova Oleksandrivka (49.56034, 32.94738) <END>
<START:location> Ulyanovka (47.36667, 30.18333) <END>
<START:location> Nikolayevka (49.5, 34.68333) <END>
<START:location> Imeni Karla Marksa (48.14306, 39.40361) <END>
<START:location> Timofeyevka (45.6611, 34.36175) <END>
<START:location> Chervonohradska Miskrada (50.38419, 24.22649) <END>
<START:location> Vidradne (50.05347, 32.54653) <END>
<START:location> Nadezhda (46.22633, 29.64998) <END>
<START:location> Kalynove (47.85165, 38.41442) <END>
<START:location> Huliaihorodok (46.87428, 32.58639) <END>
<START:location> Oleksandrivske (49.38097, 35.89979) <END>
<START:location> Chërnaya Greblya (48.56667, 29.7) <END>
<START:location> Stara Huta (51.4159, 24.24301) <END>
<START:location> Dolmativka (46.21491, 32.46545) <END>
<START:location> Sudakskaya Dolina (44.85405, 34.96383) <END>
<START:location> Ok Arcadia Hotel Odessa (46.43738, 30.75696) <END>
<START:location> Zhovtneve (48.63378, 33.06293) <END>
<START:location> Pererost (51.88216, 31.31195) <END>
<START:location> Hlibovychi (49.63009, 24.22446) <END>
<START:location> Kamyane (47.76995, 32.33845) <END>
<START:location> Butivtsi (49.57745, 26.25572) <END>
<START:location> Rubaniv (50.43121, 32.69274) <END>
<START:location> Vorobiivka (47.11303, 30.25798) <END>
<START:location> Pererisl (48.69924, 24.63846) <END>
<START:location> Bilosaraiska Kosa (46.90275, 37.34539) <END>
<START:location> Zdolbuniv (50.5206, 26.24251) <END>
<START:location> Yasenivka (49.45408, 30.28828) <END>
<START:location> Kozyriv (49.10496, 36.19908) <END>
<START:location> Imeni Valiavko (47.87306, 33.28748) <END>
<START:location> Potopykha (50.54136, 34.22142) <END>
<START:location> Rohozna (48.3481, 25.9346) <END>
<START:location> Pshenychne (47.36147, 35.8458) <END>
<START:location> Zakhar’yashevka (48.73333, 28.95) <END>
<START:location> Novoselytsia (51.36387, 33.02807) <END>
<START:location> Filonivka (51.70038, 32.06682) <END>
<START:location> Pidlisnivka (50.92087, 34.58196) <END>
<START:location> Ocheretove (49.70068, 35.29268) <END>
<START:location> Ruda (50.99385, 24.3181) <END>
<START:location> Hrushka (47.14492, 29.64344) <END>
<START:location> Hontiv Yar (49.81781, 35.57837) <END>
<START:location> Chutivka (49.71559, 35.14992) <END>
<START:location> Khrebet Tomnatikul (47.76952, 25.03408) <END>
<START:location> Kotliarivka (48.14134, 36.9346) <END>
<START:location> Semenivka (48.90072, 36.75465) <END>
<START:location> Vyshnivka (51.28809, 23.71587) <END>
<START:location> Oleksandriia (49.08531, 33.88733) <END>
<START:location> Verkhnii Kut (47.94773, 39.04075) <END>
<START:location> Sholokhovskiy (47.95, 37.95) <END>
<START:location> Budnitskaya (49.5, 34.41667) <END>
<START:location> Zarichchia (48.27945, 22.99365) <END>
<START:location> Uralske (47.57724, 31.92919) <END>
<START:location> Les Vardes (49.49417, -2.56306) <END>
<START:location> Zelenyi Pid (46.6778, 33.78292) <END>
<START:location> Skelivka (49.08817, 32.31454) <END>
<START:location> Verkh-Konets (48.55, 23.45) <END>
<START:location> Palashivka (48.97631, 25.57287) <END>
<START:location> Telepen’ki (49.23333, 28.65) <END>
<START:location> Rakovets (49.83052, 25.71228) <END>
<START:location> Ozero Radozhechi (51.73448, 24.49976) <END>
<START:location> Stina (48.45587, 28.41629) <END>
<START:location> Skomorokhi (49.40487, 25.72637) <END>
<START:location> Alfavito Hotel Prev Autograph (50.42317, 30.52215) <END>
<START:location> Lebedivka (50.27332, 32.02559) <END>
<START:location> Unknown River (Velyka Iablunivka) (49.17514, 31.9452) <END>
<START:location> Yasnohirka (48.77369, 37.55401) <END>
<START:location> Taniushivka (49.7701, 38.93277) <END>
<START:location> Reka Potoko Veliki Berlebas (47.98333, 24.2) <END>
<START:location> Tyagun (49.15447, 29.25644) <END>
<START:location> Cheremoshne (51.32448, 25.02254) <END>
<START:location> Raihorodok (49.82723, 28.38083) <END>
<START:location> Skosarivske (47.43083, 30.4209) <END>
<START:location> Brykiv (50.10156, 26.14093) <END>
<START:location> Stepove (48.63885, 34.90563) <END>
<START:location> Mala Supoivka (50.34695, 31.66511) <END>
<START:location> Beletskoye (49.33775, 27.76798) <END>
<START:location> Tsukroment (50.86556, 35.23167) <END>
<START:location> Aksakovka (51.05, 31.38333) <END>
<START:location> Vysokoye (49.25135, 29.8199) <END>
<START:location> Velin (50.06999, 24.97432) <END>
<START:location> Tetske (49.13688, 39.19026) <END>
<START:location> Kalmius (47.08787, 37.57439) <END>
<START:location> Petro-Mykolayivka (48.35798, 39.32743) <END>
<START:location> Vaniv (50.37393, 24.0938) <END>
<START:location> Stepanivka (51.34331, 32.09587) <END>
<START:location> Dashiv (49.00351, 29.43971) <END>
<START:location> Naraiv (50.39594, 26.0184) <END>
<START:location> Syhnal (49.69057, 28.81269) <END>
<START:location> Demianivka (47.05231, 37.18516) <END>
<START:location> Berdyansk Airport (46.815, 36.7581) <END>
<START:location> Onyshkivtsi (50.12394, 26.13522) <END>
<START:location> Brovary (50.51469, 30.8132) <END>
<START:location> Hrynivka (49.70771, 34.53028) <END>
<START:location> Yaroslavychi (50.64211, 25.42983) <END>
<START:location> Vazhne (46.57147, 30.45247) <END>
<START:location> Bogolyubovka (48.41667, 33.53333) <END>
<START:location> Kyrylivka (46.35, 35.36667) <END>
<START:location> Kobzarev (50.8925, 34.35417) <END>
<START:location> Paskivshchyna (50.50652, 31.91203) <END>
<START:location> Pobednoye (45.70109, 34.44805) <END>
<START:location> Hora Petros (48.17159, 24.42167) <END>
<START:location> Babaikivka (49.01505, 34.52742) <END>
<START:location> Melanka (47.63175, 30.2877) <END>
<START:location> Kommuna Priklad (47.46056, 29.81667) <END>
<START:location> Pisky (49.97044, 37.92132) <END>
<START:location> Zaporizka Miskrada (47.84634, 35.16824) <END>
<START:location> Poriadivka (49.33333, 30.66667) <END>
<START:location> Zavallya (48.3897, 25.59437) <END>
<START:location> Hrabivka (51.57142, 30.76143) <END>
<START:location> Prominada (46.41812, 30.7531) <END>
<START:location> Buzove (50.27706, 37.37636) <END>
<START:location> Verbove (47.87744, 36.38434) <END>
<START:location> Ivanivka (47.74199, 30.69395) <END>
<START:location> Lhiv (51.49446, 31.1451) <END>
<START:location> Ivanivka (47.85469, 34.11198) <END>
<START:location> Dobrovelychkivka (48.38939, 31.18039) <END>
<START:location> Pshenichnenskoye sel'skoye poselenye (45.64519, 34.83705) <END>
<START:location> Zhniatyno (48.35368, 22.59419) <END>
<START:location> Hora Bystra (48.38918, 23.17244) <END>
<START:location> Pivnichne (48.13416, 38.09281) <END>
<START:location> Stepanivka (51.89415, 34.10361) <END>
<START:location> Veselyi Kut (47.10607, 29.991) <END>
<START:location> Kudoiarove (52.29266, 33.60246) <END>
<START:location> Supyna (48.79007, 34.54659) <END>
<START:location> Pavlivka (49.4522, 33.1616) <END>
<START:location> Tuzly (46.70021, 31.37646) <END>
<START:location> Nartsizovka (49.26447, 28.97767) <END>
<START:location> Morvino (47.51667, 37.95) <END>
<START:location> Medvyn (51.08701, 30.33737) <END>
<START:location> Kropyvnia (50.66846, 27.45528) <END>
<START:location> Bucha (50.58333, 30.36667) <END>
<START:location> Riznikivka (48.83909, 37.91364) <END>
<START:location> Nabruska (51.46984, 25.29254) <END>
<START:location> Rubany (49.31143, 34.2353) <END>
<START:location> Voronivka (47.65591, 31.41348) <END>
<START:location> Beloglinka (44.9949, 34.04167) <END>
<START:location> Slobidka (51.86433, 32.90681) <END>
<START:location> Skochyshche (50.09982, 29.38383) <END>
<START:location> Mikhaylovka (49.68283, 37.33483) <END>
<START:location> Castel (49.465, -2.59361) <END>
<START:location> Saltivskyi district (49.99971, 36.30023) <END>
<START:location> Dubove (50.29419, 31.59527) <END>
<START:location> Kop-Aran (45.57903, 32.94302) <END>
<START:location> Dubyshche (50.07612, 28.14185) <END>
<START:location> Novooleksandrivka (47.10722, 34.90996) <END>
<START:location> Novovasylivka (49.95806, 37.6975) <END>
<START:location> Dribtsi (51.33355, 32.97574) <END>
<START:location> Hlubivka (48.69306, 27.2967) <END>
<START:location> Dalnichen (46.40595, 29.68017) <END>
<START:location> Chapayevka (45.28119, 34.89428) <END>
<START:location> Svyato-Panteleymonovskiy Khram (46.56461, 30.72435) <END>
<START:location> Khutor Besschastnogo (46.93333, 32.53333) <END>
<START:location> Andriivka (48.35504, 39.49293) <END>
<START:location> Ternove (48.45487, 35.72695) <END>
<START:location> Rohan (49.9029, 36.48122) <END>
<START:location> Sukharka (50.5, 29.23333) <END>
<START:location> Posëlok Voroshilova (47.86667, 33.76667) <END>
<START:location> Olhivske (47.73723, 36.52408) <END>
<START:location> Horokhuvatka (49.91248, 30.69577) <END>
<START:location> Molodetske (48.02677, 38.45251) <END>
<START:location> Hoshiv (51.24679, 28.73029) <END>
<START:location> Bila Kamianka (47.54209, 37.86031) <END>
<START:location> Moskvets (47.96556, 38.41611) <END>
<START:location> Vil’shen’ske (48.03333, 24.86667) <END>
<START:location> Alekseyevskiy (47.68333, 35.1) <END>
<START:location> Biloiarivka (47.79607, 38.60247) <END>
<START:location> Krasne (50.2772, 33.11541) <END>
<START:location> Rukav Ivanesht (45.33198, 28.97049) <END>
<START:location> Vybranuvka (48.35, 25.03333) <END>
<START:location> Nechaivka (47.85751, 36.20651) <END>
<START:location> Haivka (48.63527, 31.37757) <END>
<START:location> Skhidne (46.93424, 35.23658) <END>
<START:location> Makarivka (50.7528, 31.32361) <END>
<START:location> Doroshivka (51.30886, 34.24184) <END>
<START:location> Briukhovychi (49.58441, 24.57963) <END>
<START:location> Ruske (48.47118, 22.61858) <END>
<START:location> Avksenivka (48.56877, 34.24153) <END>
<START:location> Terny (49.87927, 34.78624) <END>
<START:location> Trudove (47.58435, 37.38235) <END>
<START:location> Antonivka (51.42603, 33.74376) <END>
<START:location> Holyn (49.00686, 24.24971) <END>
<START:location> Balichi (49.76912, 23.03532) <END>
<START:location> Pavolochka (49.86138, 29.45418) <END>
<START:location> Perepetnoye (51.83722, 34.22472) <END>
<START:location> Nova Kozacha (50.30231, 36.17565) <END>
<START:location> Zhytomyrs'ka vulytsia (50.76149, 29.29904) <END>
<START:location> Vytivka (49.62634, 34.30736) <END>
<START:location> Dobranovka (48.83333, 25.95) <END>
<START:location> Novi Sanzhary Raion (49.33559, 34.31561) <END>
<START:location> Havrylivka Druha (46.17999, 33.46891) <END>
<START:location> Novokrasne (48.02426, 31.36147) <END>
<START:location> Grechkino (47.58333, 37.98333) <END>
<START:location> Zhuravok (51.87862, 31.68686) <END>
<START:location> Nyzkynychi (50.73453, 24.18388) <END>
<START:location> Vyshneve (50.38299, 31.97786) <END>
<START:location> Zarichne (51.29964, 33.79373) <END>
<START:location> Filonovka (49.89969, 34.42578) <END>
<START:location> Yukht (49.64272, 26.69823) <END>
<START:location> Volya Dobrostan’ska (49.89351, 23.63923) <END>
<START:location> Marine (50.27562, 35.39933) <END>
<START:location> Pidvysoke (48.58069, 30.6759) <END>
<START:location> Veresneve (50.69503, 25.30439) <END>
<START:location> Ladyzhynska Miskrada (48.66495, 29.12298) <END>
<START:location> Berestove (48.72698, 36.60272) <END>
<START:location> Sushky (49.70539, 31.64921) <END>
<START:location> Vilne (48.95357, 39.7576) <END>
<START:location> Kamenskoye (47.18431, 37.51485) <END>
<START:location> Nova Oleksiivka (45.89198, 29.61677) <END>
<START:location> Grand Havre (49.50111, -2.55056) <END>
<START:location> Velyka Horbasha (50.45503, 27.42237) <END>
<START:location> Huta-Potiivka (50.69439, 28.86684) <END>
<START:location> Sura (48.50809, 29.54177) <END>
<START:location> Danil’cha-Khoba (44.53333, 33.96667) <END>
<START:location> Rozhniativka (48.56841, 28.35403) <END>
<START:location> Chystokha (49.99954, 30.31389) <END>
<START:location> Slidy (48.82065, 28.51441) <END>
<START:location> Imeni Il'icha Kolkhoz (47.7625, 29.36889) <END>
<START:location> Sudykha (49.03849, 35.71462) <END>
<START:location> Tarasivka (47.02288, 30.56565) <END>
<START:location> Novoandriivka (47.54848, 35.69894) <END>
<START:location> Voloshkove (47.04404, 35.66316) <END>
<START:location> Petropavlivka (47.7339, 31.49875) <END>
<START:location> Shmyhli (49.54277, 34.55093) <END>
<START:location> Myru Street (50.94557, 29.00324) <END>
<START:location> Hvizdiv (50.63485, 27.14623) <END>
<START:location> Stovbyna Dolyna (49.42306, 34.22841) <END>
<START:location> Chervone (49.95114, 28.86631) <END>
<START:location> Clos Princess (49.43611, -2.36) <END>
<START:location> Benedivka (49.88333, 28.48333) <END>
<START:location> Slobozhanske (49.37108, 36.58042) <END>
<START:location> Апостолове (47.65815, 33.697819) <END>
<START:location> Zboriv Raion (49.66673, 25.13828) <END>
<START:location> Ostriv Pishchanyi (45.37128, 29.68994) <END>
<START:location> Blahodatne (47.87928, 38.48492) <END>
<START:location> Zhylyntsi (49.26176, 26.87954) <END>
<START:location> Suprunkovtsy (48.75212, 26.77201) <END>
<START:location> Sydoriv (49.00948, 26.16653) <END>
<START:location> Yenika (45.48333, 29.06667) <END>
<START:location> Bugayevskoy (49.9, 34.26667) <END>
<START:location> Volodymyrivka (47.73391, 37.3882) <END>
<START:location> Stara Maiachka (46.51074, 33.1818) <END>
<START:location> Chmil (50.93235, 27.91432) <END>
<START:location> Dontsivka (49.59609, 39.27016) <END>
<START:location> Dniprove (48.33568, 35.14628) <END>
<START:location> Stepkivka (47.89134, 30.90553) <END>
<START:location> Mykolaivka (48.76613, 33.62103) <END>
<START:location> Zhukivtsi (49.00406, 28.16374) <END>
<START:location> Nova Huta (50.91523, 29.45299) <END>
<START:location> Burchak (47.37678, 35.30929) <END>
<START:location> Goryachkovka (48.25172, 28.62503) <END>
<START:location> Murivka (51.47425, 31.82438) <END>
<START:location> Barativka (47.5932, 32.35677) <END>
<START:location> Sushylyne (50.91401, 34.40674) <END>
<START:location> Rivne (48.24098, 31.75845) <END>
<START:location> Orlova Sloboda (48.0235, 38.25478) <END>
<START:location> Rezervne (44.47031, 33.67417) <END>
<START:location> Velyka Horbasha (50.42203, 28.70072) <END>
<START:location> Podgrodze (49.08333, 24.68333) <END>
<START:location> Khocheva (51.0353, 30.08957) <END>
<START:location> Zmiinets (50.76242, 25.2858) <END>
<START:location> Saranchivka (50.11422, 34.54073) <END>
<START:location> Vyshnivtsi (48.81649, 33.47008) <END>
<START:location> Gora Yaseneva (48.45315, 23.29802) <END>
<START:location> Diachenky (49.3117, 33.74688) <END>
<START:location> Pogrebki (51.96667, 33.38333) <END>
<START:location> Krasnaya Dolina (50.0225, 37.60167) <END>
<START:location> Vrubivnyk (47.99997, 37.34419) <END>
<START:location> Kovray (49.46553, 32.39227) <END>
<START:location> Novoyavorivs'k (49.93023, 23.57357) <END>
<START:location> Goptovo (50.725, 34.04194) <END>
<START:location> Nekremenne (48.81667, 37.13664) <END>
<START:location> Hirka (47.39558, 38.19053) <END>
<START:location> Karpovtlash (48.20526, 23.37196) <END>
<START:location> Proshchurady (49.00364, 33.98759) <END>
<START:location> Les Fontenelles (49.42361, -2.59139) <END>
<START:location> Nove Pole (47.3026, 35.47284) <END>
<START:location> Budylka (50.49226, 34.42697) <END>
<START:location> Novoselivka (47.58489, 36.43175) <END>
<START:location> Studenyi (48.67385, 23.35044) <END>
<START:location> Sverdlovska Miskrada (48.0685, 39.58057) <END>
<START:location> Pryshchepivka (47.94547, 31.58628) <END>
<START:location> Novyi Merchyk (49.9733, 35.63702) <END>
<START:location> Stryyevka (49.60449, 25.81775) <END>
<START:location> Kapulivka (47.54889, 34.22758) <END>
<START:location> Chopovychi United Territorial Community (50.86747, 28.98588) <END>
<START:location> Chemerivtsi (49.00914, 26.34002) <END>
<START:location> Zupynochnyi Punkt Tomashpil (48.49751, 28.5296) <END>
<START:location> Voskresenka (46.59701, 34.55889) <END>
<START:location> Sartana (47.17704, 37.69273) <END>
<START:location> Vyrka (51.28492, 26.35079) <END>
<START:location> Tserkov’ Vozneseniya Gospodnya (46.49726, 30.70608) <END>
<START:location> Tomakivka Raion (47.81242, 34.74227) <END>
<START:location> Zaturyn (49.17845, 25.06237) <END>
<START:location> Yarove (50.98237, 33.57261) <END>
<START:location> Yablunivka (50.2813, 33.2483) <END>
<START:location> Noir Houmet (49.72701, -2.25416) <END>
<START:location> Velyka Vilshanka (50.06753, 30.43776) <END>
<START:location> Novosilka Street (49.80872, 27.36406) <END>
<START:location> Urozhaine (47.21077, 35.95415) <END>
<START:location> Hrynky (49.85876, 26.1337) <END>
<START:location> Khrysto-Boteve (46.77031, 30.79916) <END>
<START:location> Grafskiy (51.1, 33.45) <END>
<START:location> La Genouinne (49.445, -2.6825) <END>
<START:location> Yavorskiy (47.3, 33.68333) <END>
<START:location> Verenchanka (48.54622, 25.74094) <END>
<START:location> Gulevtsy (50.01331, 26.49184) <END>
<START:location> Tayirove (46.35899, 30.64777) <END>
<START:location> Pavlenivka (50.09636, 28.65504) <END>
<START:location> Slobidka (49.9652, 35.04778) <END>
<START:location> Bondari (51.14918, 33.84895) <END>
<START:location> Zaozerne (46.60046, 33.95793) <END>
<START:location> Hora Strymba (48.438, 23.80038) <END>
<START:location> Maslivka (49.38732, 36.17171) <END>
<START:location> Pryliutove (49.91269, 37.44409) <END>
<START:location> Vydrychka (48.05396, 24.31313) <END>
<START:location> Gora Pevneva (52.00874, 31.37438) <END>
<START:location> Zhukove (48.35889, 36.59722) <END>
<START:location> Semenivka (46.89278, 35.41046) <END>
<START:location> Zamost (50.26306, 34.43528) <END>
<START:location> Urochishche Belokamenka (45.41137, 35.8071) <END>
<START:location> Fedorivka (46.74653, 33.91045) <END>
<START:location> Morozivka (49.42438, 37.02602) <END>
<START:location> Velyka Motovylivka (50.14277, 30.0892) <END>
<START:location> Bilichi (50.46544, 30.34654) <END>
<START:location> Tsezarevka (47, 30.3) <END>
<START:location> Turopyn (50.98512, 24.45203) <END>
<START:location> Novoandreevskoye sel'skoye poselenye (45.19813, 34.09178) <END>
<START:location> Riznia (50.8174, 29.34087) <END>
<START:location> Klymove (50.00131, 34.06077) <END>
<START:location> Taramskiye (48.35, 34.7) <END>
